ime,pozicija,ekipa,st_tekem,minute_na_tekmo,tocke,fgm-fga,fg%,3pm-3pa,3p%,ftm-fta,ft%
Jamal Crawford,SG,MIN,80,20.7,10.3,3.9-9.3,.415,1.3-3.9,.331,1.3-1.4,.903
Yogi Ferrell,PG,DAL,82,27.8,10.2,3.8-8.9,.426,1.6-4.4,.373,1.0-1.3,.796
D.J. Augustin,PG,ORL,75,23.5,10.2,3.3-7.2,.452,1.5-3.6,.419,2.2-2.5,.868
Denzel Valentine,SG,CHI,77,27.2,10.2,3.9-9.4,.417,1.9-4.8,.386,0.5-0.7,.745
Pau Gasol,C,SA,77,23.5,10.1,3.7-8.1,.458,0.6-1.6,.358,2.1-2.7,.756
Patty Mills,PG,SA,82,25.7,10.0,3.4-8.3,.411,1.9-5.0,.372,1.3-1.4,.890
CJ Miles,SF,TOR,70,19.1,10.0,3.2-8.6,.379,2.3-6.5,.361,1.2-1.4,.835
Wilson Chandler,SF,DEN,74,31.6,10.0,3.8-8.5,.445,1.2-3.3,.358,1.2-1.5,.772
George Hill,PG,CLE/SAC,67,27.0,10.0,3.5-7.7,.460,1.3-3.1,.415,1.6-2.1,.786
Dewayne Dedmon,C,ATL,62,24.9,10.0,4.0-7.7,.524,0.8-2.3,.355,1.1-1.4,.779
Trey Lyles,PF,DEN,73,19.1,9.9,3.7-7.5,.491,1.1-3.0,.381,1.4-2.0,.706
Jae Crowder,PF,CLE/UTAH,80,26.1,9.7,3.4-8.4,.404,1.4-4.3,.323,1.5-1.9,.818
Mario Hezonja,SF,ORL,75,22.1,9.6,3.6-8.2,.442,1.2-3.6,.337,1.1-1.4,.819
Marvin Williams,PF,CHA,78,25.7,9.5,3.3-7.2,.458,1.6-3.9,.413,1.3-1.6,.829
Ryan Anderson,PF,HOU,66,26.1,9.3,3.1-7.3,.431,2.0-5.1,.386,1.1-1.4,.774
Al-Farouq Aminu,PF,POR,69,30.0,9.3,3.3-8.4,.395,1.8-4.9,.369,0.9-1.2,.738
Lance Stephenson,SG,IND,82,22.6,9.2,3.7-8.6,.427,0.8-2.8,.289,1.0-1.5,.661
Kyle Korver,SG,CLE,73,21.6,9.2,3.0-6.6,.459,2.2-5.2,.436,0.9-1.0,.889
Michael Kidd-Gilchrist,SF,CHA,74,25.0,9.2,3.8-7.6,.504,0.0-0.0,.000,1.6-2.3,.684
Anthony Tolliver,PF,DET,79,22.2,8.9,2.8-6.0,.464,2.0-4.6,.436,1.3-1.7,.797
Troy Daniels,SG,PHX,79,20.5,8.9,2.9-7.3,.403,2.3-5.8,.400,0.7-0.8,.875
Manu Ginobili,G,SA,65,20.0,8.9,3.1-7.1,.434,1.0-3.0,.333,1.7-2.0,.840
Mike Scott,PF,WSH,76,18.5,8.8,3.6-6.9,.527,0.9-2.1,.405,0.7-1.0,.658
John Henson,F,MIL,76,25.9,8.8,3.8-6.6,.572,0.0-0.1,.143,1.2-2.1,.570
Skal Labissiere,PF,SAC,60,20.7,8.7,3.4-7.6,.448,0.3-0.9,.353,1.6-2.0,.805
Shabazz Napier,PG,POR,74,20.7,8.7,3.0-7.2,.420,1.1-2.9,.376,1.6-1.9,.841
Larry Nance Jr.,PF,CLE/LAL,66,21.5,8.7,3.6-6.3,.581,0.0-0.2,.167,1.4-2.1,.664
Stanley Johnson,SF,DET,69,27.4,8.7,3.0-8.1,.375,1.0-3.4,.286,1.6-2.1,.772
Emmanuel Mudiay,PG,DEN/NY,64,19.4,8.6,3.2-8.2,.388,0.7-2.3,.318,1.5-2.0,.760
Fred VanVleet,PG,TOR,76,20.0,8.6,3.1-7.2,.426,1.4-3.4,.414,1.1-1.3,.832
Danny Green,SG,SA,70,25.6,8.6,3.1-8.0,.387,1.7-4.6,.363,0.7-0.9,.769
Alex Len,C,PHX,69,20.2,8.5,3.1-5.5,.566,0.0-0.0,.333,2.3-3.3,.684
Dwight Powell,PF,DAL,79,21.2,8.5,3.2-5.4,.593,0.4-1.1,.333,1.7-2.3,.719
Jerami Grant,SF,OKC,81,20.3,8.4,3.0-5.6,.535,0.4-1.4,.291,2.0-3.0,.675
Garrett Temple,SG,SAC,65,24.8,8.4,3.1-7.3,.418,1.4-3.5,.392,0.9-1.2,.769
Marcin Gortat,C,WSH,82,25.3,8.4,3.5-6.8,.518,0.0-0.0,.000,1.3-2.0,.675
Devin Harris,PG,DAL/DEN,71,18.9,8.4,2.6-6.4,.412,1.1-3.2,.348,2.0-2.4,.835
Jerian Grant,PG,CHI,74,22.8,8.4,2.8-6.8,.416,0.8-2.5,.326,1.9-2.5,.745
JR Smith,SG,CLE,80,28.1,8.3,3.0-7.4,.403,1.8-4.8,.375,0.5-0.7,.696
Rajon Rondo,PG,NO,65,26.2,8.3,3.6-7.6,.468,0.8-2.3,.333,0.4-0.7,.543
Evan Turner,SG,POR,79,25.7,8.2,3.3-7.3,.447,0.5-1.7,.318,1.2-1.4,.850
Jarrett Allen,C,BKN,72,20.0,8.2,3.3-5.5,.589,0.1-0.2,.333,1.6-2.0,.776
Dejounte Murray,PG,SA,81,21.5,8.1,3.3-7.5,.443,0.1-0.4,.265,1.3-1.8,.709
Delon Wright,PG,TOR,69,20.8,8.0,2.9-6.3,.465,0.8-2.2,.366,1.4-1.7,.829
David Nwaba,SG,CHI,70,23.5,7.9,2.9-6.0,.478,0.3-0.7,.346,1.9-2.9,.655
Cory Joseph,PG,IND,82,27.0,7.9,3.1-7.4,.424,0.8-2.3,.353,0.9-1.1,.745
Kyle Anderson,SF,SA,74,26.7,7.9,3.1-5.9,.527,0.3-0.8,.333,1.4-2.0,.712
Josh Hart,SG,LAL,63,23.2,7.9,2.8-6.0,.469,1.2-3.1,.396,1.0-1.5,.702
Tyler Ulis,G,PHX,71,23.4,7.8,3.0-7.8,.388,0.6-2.1,.288,1.2-1.4,.832
Justise Winslow,SF,MIA,68,24.7,7.8,3.0-7.2,.424,0.7-1.9,.380,1.0-1.5,.635
Doug McDermott,SF,DAL/NY,81,21.8,7.8,2.9-6.3,.467,1.1-2.7,.426,0.8-1.0,.790
Darius Miller,SF,NO,82,23.7,7.8,2.6-5.9,.444,1.8-4.4,.411,0.7-0.8,.866
Jarell Martin,PF,MEM,73,22.8,7.7,3.0-6.8,.446,0.5-1.3,.347,1.2-1.6,.767
Marquese Chriss,PF,PHX,72,21.2,7.7,2.8-6.6,.423,0.8-2.6,.295,1.3-2.2,.608
Alec Burks,SG,UTAH,64,16.5,7.7,2.7-6.5,.411,0.7-2.2,.331,1.7-1.9,.863
Mario Chalmers,G,MEM,66,21.5,7.7,2.5-6.7,.379,0.8-2.9,.277,1.8-2.1,.855
Luke Kennard,SG,DET,73,20.0,7.6,2.8-6.4,.443,1.1-2.7,.415,0.9-1.0,.855
Luc Mbah a Moute,PF,HOU,61,25.6,7.5,2.7-5.7,.481,1.0-2.8,.364,1.1-1.6,.684
Jarrett Jack,G,NY,62,25.0,7.5,3.0-7.1,.427,0.4-1.4,.291,1.0-1.2,.840
Ian Clark,SG,NO,74,19.6,7.4,3.0-6.7,.448,0.8-2.6,.318,0.6-0.8,.763
Pascal Siakam,PF,TOR,81,20.7,7.3,3.1-6.1,.508,0.4-1.6,.220,0.7-1.1,.621
Nick Young,G,GS,80,17.4,7.3,2.5-6.1,.412,1.5-4.1,.377,0.7-0.8,.862
Tomas Satoransky,SG,WSH,73,22.5,7.2,2.8-5.3,.523,0.6-1.4,.465,1.0-1.3,.781
Kyle O'Quinn,C,NY,77,18.0,7.1,2.9-5.0,.583,0.1-0.2,.235,1.3-1.6,.772
James Ennis III,SF,DET/MEM,72,22.3,7.1,2.5-5.3,.474,0.7-2.1,.333,1.3-1.6,.836
Mason Plumlee,PF,DEN,74,19.5,7.1,3.0-5.0,.601,0.0-0.0,.000,1.1-2.4,.458
Bryn Forbes,G,SA,80,19.0,6.9,2.6-6.2,.421,1.1-2.9,.390,0.6-0.9,.667
Jakob Poeltl,C,TOR,82,18.6,6.9,3.1-4.7,.659,0.0-0.0,.500,0.7-1.2,.594
Bam Adebayo,C,MIA,69,19.8,6.9,2.5-4.9,.512,0.0-0.1,.000,1.9-2.6,.721
Raymond Felton,PG,OKC,82,16.6,6.9,2.7-6.7,.407,1.0-2.8,.354,0.4-0.5,.818
Tony Snell,SG,MIL,75,27.4,6.9,2.5-5.7,.435,1.4-3.6,.403,0.5-0.6,.792
Shelvin Mack,PG,ORL,69,19.8,6.9,2.6-6.0,.430,0.7-2.0,.345,1.0-1.4,.711
David West,F,GS,73,13.7,6.8,3.0-5.2,.571,0.0-0.1,.375,0.8-1.1,.759
Nemanja Bjelica,PF,MIN,67,20.5,6.8,2.6-5.5,.461,1.1-2.7,.415,0.5-0.7,.800
Kosta Koufos,C,SAC,71,19.6,6.7,3.1-5.5,.571,0.0-0.0,.000,0.5-1.0,.446
Malik Monk,SG,CHA,63,13.5,6.7,2.4-6.7,.360,1.3-3.9,.342,0.5-0.6,.842
Tyler Zeller,C,MIL/BKN,66,16.8,6.7,2.8-5.1,.560,0.2-0.4,.357,0.9-1.2,.722
Justin Jackson,SF,SAC,68,22.1,6.7,2.7-6.2,.442,0.8-2.7,.308,0.4-0.5,.722
Isaiah Taylor,G,ATL,67,17.4,6.6,2.4-5.8,.418,0.3-1.2,.250,1.5-2.1,.702
Maurice Harkless,SF,POR,59,21.4,6.5,2.5-5.0,.495,0.8-2.0,.415,0.7-1.0,.712
Dragan Bender,PF,PHX,82,25.2,6.5,2.3-5.9,.386,1.4-3.9,.366,0.5-0.6,.765
Jodie Meeks,SG,WSH,77,14.5,6.3,2.0-5.1,.399,0.9-2.7,.343,1.3-1.5,.863
Trevor Booker,F,IND/BKN/PHI,68,17.0,6.3,2.6-5.0,.516,0.1-0.5,.242,1.0-1.4,.710
T.J. McConnell,PG,PHI,76,22.4,6.3,2.8-5.5,.499,0.4-0.8,.435,0.4-0.5,.795
Langston Galloway,SG,DET,58,14.9,6.2,2.2-5.9,.371,1.3-3.8,.344,0.6-0.7,.805
PJ Tucker,SF,HOU,82,27.8,6.1,2.1-5.4,.390,1.4-3.8,.371,0.5-0.7,.717
Andre Iguodala,SG,GS,64,25.4,6.0,2.3-5.0,.463,0.5-1.8,.282,0.9-1.4,.632
Aron Baynes,C,BOS,81,18.3,6.0,2.6-5.5,.471,0.0-0.3,.143,0.7-1.0,.756
Gorgui Dieng,C,MIN,79,16.9,5.9,2.4-4.9,.479,0.2-0.8,.311,1.0-1.3,.775
Frank Ntilikina,PG,NY,78,21.9,5.9,2.3-6.4,.364,0.6-2.0,.318,0.6-0.9,.721
Davis Bertans,SF,SA,77,14.1,5.9,2.1-4.8,.440,1.2-3.3,.373,0.5-0.6,.816
OG Anunoby,SF,TOR,74,20.0,5.9,2.2-4.7,.471,1.0-2.7,.371,0.5-0.8,.629
Quincy Acy,F,BKN,70,19.4,5.9,1.9-5.2,.356,1.5-4.2,.349,0.7-0.9,.817
Deyonta Davis,C,MEM,62,15.2,5.8,2.6-4.3,.608,0.0-0.0,.000,0.6-0.9,.667
Jonas Jerebko,PF,UTAH,74,15.3,5.8,2.1-4.6,.466,0.9-2.1,.414,0.6-0.8,.807
Dante Cunningham,SF,NO/BKN,73,21.4,5.7,2.2-5.0,.451,0.8-2.3,.345,0.4-0.7,.596
Bismack Biyombo,C,ORL,82,18.2,5.7,2.2-4.3,.520,0.0-0.0,.000,1.2-1.9,.650
Shaun Livingston,PG,GS,71,15.9,5.5,2.4-4.8,.501,0.0-0.1,.000,0.7-0.9,.820
Norman Powell,SF,TOR,70,15.2,5.5,2.1-5.3,.401,0.8-2.7,.285,0.5-0.6,.821
Wesley Johnson,SF,LAC,74,20.1,5.4,2.0-5.0,.408,0.8-2.4,.339,0.6-0.8,.741
Zaza Pachulia,C,GS,69,14.1,5.4,2.2-3.8,.564,0.0-0.0,.000,1.1-1.3,.806
Vince Carter,SF,SAC,58,17.7,5.4,2.0-4.9,.403,1.0-2.8,.345,0.5-0.6,.757
Pat Connaughton,SG,POR,82,18.1,5.4,2.0-4.8,.423,0.9-2.6,.352,0.5-0.5,.841
Maximilian Kleber,PF,DAL,72,16.8,5.4,2.1-4.3,.489,0.6-1.8,.313,0.6-0.8,.746
Ed Davis,PF,POR,78,18.9,5.3,2.2-3.7,.582,0.0-0.0,.000,0.9-1.4,.667
Corey Brewer,F,LAL/OKC,72,16.8,5.3,2.0-4.4,.449,0.4-1.5,.282,0.9-1.3,.722
Daniel Theis,PF,BOS,63,14.8,5.3,2.0-3.7,.541,0.3-0.9,.310,1.0-1.3,.753
Tyus Jones,PG,MIN,82,17.9,5.1,1.8-4.0,.457,0.5-1.6,.349,0.9-1.0,.877
Royce O'Neale,SF,UTAH,69,16.7,5.0,1.7-4.1,.423,0.6-1.7,.356,0.9-1.1,.803
Thon Maker,PF,MIL,74,16.7,4.8,1.8-4.3,.411,0.4-1.4,.298,0.9-1.3,.699
JaVale McGee,C,GS,65,9.5,4.8,2.1-3.4,.621,0.0-0.1,.000,0.6-0.8,.731
Ian Mahinmi,C,WSH,77,14.9,4.8,1.8-3.2,.556,0.0-0.0,.000,1.2-1.7,.703
Alex Abrines,SG,OKC,75,15.1,4.7,1.5-3.9,.395,1.1-2.9,.380,0.5-0.6,.848
Amir Johnson,C,PHI,74,15.8,4.6,1.9-3.5,.538,0.1-0.4,.313,0.7-1.1,.612
Zach Collins,PF,POR,66,15.8,4.4,1.7-4.4,.398,0.5-1.7,.310,0.4-0.6,.643
Treveon Graham,SG,CHA,63,16.7,4.3,1.5-3.5,.434,0.6-1.5,.412,0.7-0.9,.695
Sam Dekker,SF,LAC,73,12.1,4.2,1.8-3.5,.494,0.1-0.8,.167,0.5-0.8,.661
Lance Thomas,SF,NY,73,18.5,4.1,1.4-3.7,.382,0.7-1.7,.403,0.6-0.7,.830
Kevon Looney,SF,GS,66,13.8,4.0,1.7-2.9,.580,0.0-0.1,.200,0.6-1.2,.545
Cedi Osman,SF,CLE,61,11.0,3.9,1.5-3.0,.484,0.5-1.4,.368,0.4-0.8,.565
Patrick Patterson,PF,OKC,82,15.5,3.9,1.3-3.2,.399,0.8-2.1,.386,0.5-0.6,.870
Sindarius Thornwell,SG,LAC,73,15.8,3.9,1.4-3.2,.429,0.3-0.8,.377,0.8-1.2,.670
Wesley Iwundu,SF,ORL,62,16.5,3.7,1.5-3.5,.427,0.1-0.7,.196,0.5-0.8,.723
Salah Mejri,C,DAL,61,12.0,3.5,1.4-2.2,.642,0.0-0.0,.000,0.6-1.1,.576
Malik Beasley,SG,DEN,62,9.5,3.2,1.2-2.9,.410,0.5-1.3,.341,0.4-0.5,.667
Terrance Ferguson,SG,OKC,61,12.5,3.1,1.1-2.8,.414,0.7-2.0,.333,0.1-0.2,.900
Tim Frazier,PG,WSH,59,14.2,3.0,1.2-2.9,.395,0.3-0.9,.304,0.4-0.5,.767
Semi Ojeleye,PF,BOS,73,15.8,2.7,0.9-2.6,.346,0.5-1.7,.320,0.3-0.6,.610
Ekpe Udoh,C,UTAH,63,12.9,2.6,1.0-1.9,.500,0.0-0.0,.000,0.7-0.9,.750
Josh Huestis,F,OKC,69,14.2,2.3,0.9-2.6,.330,0.5-1.7,.287,0.1-0.3,.300
Brandon Paul,G,SA,64,9.0,2.3,0.9-2.0,.433,0.2-0.8,.278,0.3-0.7,.512
Eric Moreland,C,DET,67,12.0,2.1,1.0-1.8,.541,0.0-0.0,.000,0.2-0.4,.379
DeAndre Liggins,G,NO/MIL,58,12.5,1.7,0.7-1.8,.377,0.3-0.9,.358,0.0-0.1,.400
